seed,heldout_condition,model,train_loss,heldout_loss
910002,lagged_Y_to_E,replay_only_basis,15.693752898854282,19.27046403606566
910003,doublet_EY,full_reciprocal,2.6702614341552433,0.10019521008097718
910003,doublet_EY,eta_only,59.05448828834246,14.745838523408441
910003,doublet_EY,zeta_only,48.07503393552294,15.905492245161502
910003,doublet_EY,generic_hidden_oscillator,53.388354539212756,18.087597478289716
910003,doublet_EY,null_no_coupling,120.29841035153709,11.873177600294
910003,doublet_EY,replay_only_basis,22.35437432398271,3.66347454198036
910003,orthogonal_trap,full_reciprocal,1.889159293108406,1.1108274500354332
910003,orthogonal_trap,eta_only,55.231598143460864,19.090358015810075
910003,orthogonal_trap,zeta_only,52.83168774811813,10.628868175672878
910003,orthogonal_trap,generic_hidden_oscillator,44.49422240396539,18.540290657811497
910003,orthogonal_trap,null_no_coupling,95.90765158616566,36.26393636566543
910003,orthogonal_trap,replay_only_basis,21.955139158882538,5.829994598374768
910003,counterphase,full_reciprocal,2.5544409985226975,0.21601564571352297
910003,counterphase,eta_only,67.58087511485743,5.886291924909509
910003,counterphase,zeta_only,55.29942030328754,8.161135620503465
910003,counterphase,generic_hidden_oscillator,44.08074256429509,18.67935190922908
910003,counterphase,null_no_coupling,110.68683166108272,21.48475629074837
910003,counterphase,replay_only_basis,22.205624831947397,1.5118742582686648
910003,lagged_E_to_Y,full_reciprocal,1.5363525232170154,1.4165945649711498
910003,lagged_E_to_Y,eta_only,38.36557706154863,34.51770661421027
910003,lagged_E_to_Y,zeta_only,60.94928810525145,2.255020309251152
910003,lagged_E_to_Y,generic_hidden_oscillator,51.586349522226165,12.025671190303427
910003,lagged_E_to_Y,null_no_coupling,98.63860504893886,33.53298290289223
910003,lagged_E_to_Y,replay_only_basis,13.723923693090951,16.627498122471273
910003,recovery_probe,full_reciprocal,2.2565592315172207,0.5216110929239393
910003,recovery_probe,eta_only,70.27749639239562,2.6057872833632794
910003,recovery_probe,zeta_only,61.676484851431354,1.4535420978007465
910003,recovery_probe,generic_hidden_oscillator,61.97451438846635,0.8142505593051075
910003,recovery_probe,null_no_coupling,129.59916984533868,2.5724181064924285
910003,recovery_probe,replay_only_basis,21.638917326276953,0.3015986146396791
910003,lagged_Y_to_E,full_reciprocal,2.653339998597244,0.12483032584391626
910003,lagged_Y_to_E,eta_only,70.3455846175996,5.872711830143266
910003,lagged_Y_to_E,zeta_only,35.6145291455532,27.515497803678908
910003,lagged_Y_to_E,generic_hidden_oscillator,52.92198734882858,9.8381071246956
910003,lagged_Y_to_E,null_no_coupling,105.72727126609244,26.444316685738645
910003,lagged_Y_to_E,replay_only_basis,15.668545096005339,17.78804449516735
910004,doublet_EY,full_reciprocal,2.255986151982815,0.3742942394787941
910004,doublet_EY,eta_only,54.33942589942983,11.12901565081323
910004,doublet_EY,zeta_only,53.64869148221158,19.20705391112776
910004,doublet_EY,generic_hidden_oscillator,70.92022840972099,13.709167104402553
910004,doublet_EY,null_no_coupling,124.27725428100736,11.2272603620613
910004,doublet_EY,replay_only_basis,20.72554412299933,6.828911633966431
910004,orthogonal_trap,full_reciprocal,2.1294789896698108,0.3533380735007707
910004,orthogonal_trap,eta_only,42.69764739662135,23.35312330225517
910004,orthogonal_trap,zeta_only,60.053821324125025,13.484908455166353
910004,orthogonal_trap,generic_hidden_oscillator,51.744379856943084,27.30932053594994
910004,orthogonal_trap,null_no_coupling,92.11693148071028,43.38758316235837
910004,orthogonal_trap,replay_only_basis,23.684916794585362,5.27921997071031
910004,counterphase,full_reciprocal,2.122322004598148,0.30758041111242884
910004,counterphase,eta_only,60.53654645188952,4.805794522328622
910004,counterphase,zeta_only,62.15342880264291,9.845738487256252
910004,counterphase,generic_hidden_oscillator,59.7671058311016,18.404014484564872
910004,counterphase,null_no_coupling,113.06134075120359,22.443173891865055
910004,counterphase,replay_only_basis,21.809026740400853,2.2865358284303134
910004,lagged_E_to_Y,full_reciprocal,1.852160837435637,0.6241597324407806
910004,lagged_E_to_Y,eta_only,38.90278023946092,26.148396160440512
910004,lagged_E_to_Y,zeta_only,70.21655879116412,2.240131616498572
910004,lagged_E_to_Y,generic_hidden_oscillator,66.43586599969508,11.73525431597138
910004,lagged_E_to_Y,null_no_coupling,110.30403522817686,25.20047941489179
910004,lagged_E_to_Y,replay_only_basis,16.10452576054525,12.133538116827692
910004,recovery_probe,full_reciprocal,2.3301098621788308,0.09979255353174588
910004,recovery_probe,eta_only,62.81900310808642,2.1901397664733637
910004,recovery_probe,zeta_only,70.68171501166921,1.1010444039042164
910004,recovery_probe,generic_hidden_oscillator,77.38856233755577,0.7959015332474277
910004,recovery_probe,null_no_coupling,133.178673066173,2.3258415768956566
910004,recovery_probe,replay_only_basis,21.61154950709207,0.5822854913249111
910004,lagged_Y_to_E,full_reciprocal,1.3408787723068405,1.3339712161795303
910004,lagged_Y_to_E,eta_only,61.96495286160885,7.006673889659114
910004,lagged_Y_to_E,zeta_only,39.20619692869279,32.60670189231037
910004,lagged_Y_to_E,generic_hidden_oscillator,60.64987650592978,17.521243809736685
910004,lagged_Y_to_E,null_no_coupling,104.58433840807216,30.920176234996497
910004,lagged_Y_to_E,replay_only_basis,15.211169615452208,20.54683926140196
910005,doublet_EY,full_reciprocal,3.720766816287012,0.1853706452521299
910005,doublet_EY,eta_only,56.86401402491369,18.329476454895115
910005,doublet_EY,zeta_only,50.93239793237277,12.910660627586168
910005,doublet_EY,generic_hidden_oscillator,68.00897835726317,12.457653715537921
910005,doublet_EY,null_no_coupling,122.05922283368443,11.594085723055594
910005,doublet_EY,replay_only_basis,17.407774845135187,6.110662993063609
910005,orthogonal_trap,full_reciprocal,2.6602114493629943,1.2232156714795384
