generator,trial,seed,K_true_scaled,eta_hat,zeta_hat,eta_zeta_product,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated,K_within_15_positive,K_within_10_positive,full_cv_wins,full_cv_win_rate,full_prediction_win,full_and_K_lock,non_full_cv_win_rate,cv_winner_counts_json
standard_ping_null,14,940014,0.0,0.012084327570597663,-0.03524942670712398,-0.0004259656190046599,0.029484192202016122,0.6,0.1365874078904923,0.044086741178731306,False,False,False,4,0.6666666666666666,True,False,0.33333333333333337,"{""eta_only"": 2, ""full_reciprocal"": 4}"
standard_ping_null,15,940015,0.0,-0.041123359654330775,0.224167452223468,-0.009218518760580685,0.13716159664068442,0.2,0.15269974757305904,0.045760819828252496,False,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 3, ""full_reciprocal"": 1, ""standard_ping"": 2}"
standard_ping_null,16,940016,0.0,-0.02324516440046805,0.32490850929245185,-0.007552551713614044,0.12415059743758906,0.1,0.11097157865974544,0.0882130939355228,True,False,False,0,0.0,False,False,1.0,"{""eta_only"": 3, ""standard_ping"": 3}"
standard_ping_null,17,940017,0.0,-0.0034124739368228915,-0.08602264231095644,0.00029355002486277694,0.02447614519064271,1.0,0.09747726254300303,0.038715075934064,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 5, ""standard_ping"": 1}"
standard_ping_null,18,940018,0.0,0.012136753335358332,-0.09689232908200032,-0.0011759582981566044,0.048988926240500025,0.5,0.09565094166053545,0.041890148005224136,False,False,False,2,0.3333333333333333,False,False,0.6666666666666667,"{""eta_only"": 4, ""full_reciprocal"": 2}"
standard_ping_null,19,940019,0.0,0.016119290517837358,-0.2713785336060011,-0.00437442942349982,0.09448495640436275,0.1,0.07967213251246597,0.06074116545993619,True,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 4, ""full_reciprocal"": 1, ""zeta_only"": 1}"
standard_ping_null,20,940020,0.0,-0.0036764243504876252,0.011674119855867575,-4.291901850862264e-05,0.009358944047864942,1.0,0.08762688787138798,0.04358049495783585,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 6}"
replay_only_null,1,950001,0.0,0.001855465060438788,-0.389997160527552,-0.00072362610502921,0.03842899906902817,0.8,0.10314104157247649,0.043538137300587164,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 2, ""replay_only_basis"": 3, ""zeta_only"": 1}"
replay_only_null,2,950002,0.0,0.017745039325203698,0.018011863220502515,0.00031962122116800727,0.02553993356423076,0.6,0.10090341213845308,0.02666291852581177,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 1, ""replay_only_basis"": 3, ""standard_ping"": 2}"
replay_only_null,3,950003,0.0,-0.017268061915576567,0.0952777253282901,-0.001645261660144211,0.057945464511359006,0.6,0.13228407758893576,0.0704716002629208,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 4, ""replay_only_basis"": 1, ""zeta_only"": 1}"
replay_only_null,4,950004,0.0,-0.015227740053728456,0.19706823416927932,-0.0030009038427770735,0.07825786578158074,0.1,0.05525781263306806,0.03958103361655702,True,False,False,1,0.16666666666666666,False,False,0.8333333333333334,"{""eta_only"": 1, ""full_reciprocal"": 1, ""replay_only_basis"": 4}"
replay_only_null,5,950005,0.0,-0.004127001167929469,-0.009680499409768248,3.995143237025409e-05,0.009029592208372322,1.0,0.10799724662537658,0.08482413358636302,False,False,False,0,0.0,False,False,1.0,"{""eta_only"": 1, ""replay_only_basis"": 3, ""zeta_only"": 2}"
