generator,trial,seed,fold_condition,winning_model
standard_ping_null,13,940013,lagged_Y_to_E,eta_only
standard_ping_null,14,940014,doublet_EY,full_reciprocal
standard_ping_null,14,940014,orthogonal_trap,full_reciprocal
standard_ping_null,14,940014,counterphase,eta_only
standard_ping_null,14,940014,lagged_E_to_Y,full_reciprocal
standard_ping_null,14,940014,recovery_probe,eta_only
standard_ping_null,14,940014,lagged_Y_to_E,full_reciprocal
standard_ping_null,15,940015,doublet_EY,standard_ping
standard_ping_null,15,940015,orthogonal_trap,full_reciprocal
standard_ping_null,15,940015,counterphase,standard_ping
standard_ping_null,15,940015,lagged_E_to_Y,eta_only
standard_ping_null,15,940015,recovery_probe,eta_only
standard_ping_null,15,940015,lagged_Y_to_E,eta_only
standard_ping_null,16,940016,doublet_EY,eta_only
standard_ping_null,16,940016,orthogonal_trap,eta_only
standard_ping_null,16,940016,counterphase,standard_ping
standard_ping_null,16,940016,lagged_E_to_Y,standard_ping
standard_ping_null,16,940016,recovery_probe,eta_only
standard_ping_null,16,940016,lagged_Y_to_E,standard_ping
standard_ping_null,17,940017,doublet_EY,eta_only
standard_ping_null,17,940017,orthogonal_trap,eta_only
standard_ping_null,17,940017,counterphase,standard_ping
standard_ping_null,17,940017,lagged_E_to_Y,eta_only
standard_ping_null,17,940017,recovery_probe,eta_only
standard_ping_null,17,940017,lagged_Y_to_E,eta_only
standard_ping_null,18,940018,doublet_EY,eta_only
standard_ping_null,18,940018,orthogonal_trap,eta_only
standard_ping_null,18,940018,counterphase,full_reciprocal
standard_ping_null,18,940018,lagged_E_to_Y,eta_only
standard_ping_null,18,940018,recovery_probe,full_reciprocal
standard_ping_null,18,940018,lagged_Y_to_E,eta_only
standard_ping_null,19,940019,doublet_EY,eta_only
standard_ping_null,19,940019,orthogonal_trap,zeta_only
standard_ping_null,19,940019,counterphase,eta_only
standard_ping_null,19,940019,lagged_E_to_Y,eta_only
standard_ping_null,19,940019,recovery_probe,full_reciprocal
standard_ping_null,19,940019,lagged_Y_to_E,eta_only
standard_ping_null,20,940020,doublet_EY,eta_only
standard_ping_null,20,940020,orthogonal_trap,eta_only
standard_ping_null,20,940020,counterphase,eta_only
standard_ping_null,20,940020,lagged_E_to_Y,eta_only
standard_ping_null,20,940020,recovery_probe,eta_only
standard_ping_null,20,940020,lagged_Y_to_E,eta_only
replay_only_null,1,950001,doublet_EY,zeta_only
replay_only_null,1,950001,orthogonal_trap,replay_only_basis
replay_only_null,1,950001,counterphase,eta_only
replay_only_null,1,950001,lagged_E_to_Y,eta_only
replay_only_null,1,950001,recovery_probe,replay_only_basis
replay_only_null,1,950001,lagged_Y_to_E,replay_only_basis
replay_only_null,2,950002,doublet_EY,standard_ping
replay_only_null,2,950002,orthogonal_trap,replay_only_basis
replay_only_null,2,950002,counterphase,standard_ping
replay_only_null,2,950002,lagged_E_to_Y,replay_only_basis
replay_only_null,2,950002,recovery_probe,replay_only_basis
replay_only_null,2,950002,lagged_Y_to_E,eta_only
replay_only_null,3,950003,doublet_EY,replay_only_basis
replay_only_null,3,950003,orthogonal_trap,eta_only
replay_only_null,3,950003,counterphase,eta_only
replay_only_null,3,950003,lagged_E_to_Y,eta_only
replay_only_null,3,950003,recovery_probe,zeta_only
replay_only_null,3,950003,lagged_Y_to_E,eta_only
replay_only_null,4,950004,doublet_EY,replay_only_basis
replay_only_null,4,950004,orthogonal_trap,eta_only
replay_only_null,4,950004,counterphase,replay_only_basis
replay_only_null,4,950004,lagged_E_to_Y,replay_only_basis
replay_only_null,4,950004,recovery_probe,full_reciprocal
replay_only_null,4,950004,lagged_Y_to_E,replay_only_basis
replay_only_null,5,950005,doublet_EY,zeta_only
replay_only_null,5,950005,orthogonal_trap,replay_only_basis
replay_only_null,5,950005,counterphase,zeta_only
replay_only_null,5,950005,lagged_E_to_Y,replay_only_basis
replay_only_null,5,950005,recovery_probe,replay_only_basis
replay_only_null,5,950005,lagged_Y_to_E,eta_only
replay_only_null,6,950006,doublet_EY,replay_only_basis
replay_only_null,6,950006,orthogonal_trap,full_reciprocal
replay_only_null,6,950006,counterphase,eta_only
replay_only_null,6,950006,lagged_E_to_Y,eta_only
replay_only_null,6,950006,recovery_probe,replay_only_basis
replay_only_null,6,950006,lagged_Y_to_E,replay_only_basis
replay_only_null,7,950007,doublet_EY,zeta_only
replay_only_null,7,950007,orthogonal_trap,replay_only_basis
replay_only_null,7,950007,counterphase,replay_only_basis
replay_only_null,7,950007,lagged_E_to_Y,generic_hidden_tuned
replay_only_null,7,950007,recovery_probe,zeta_only
replay_only_null,7,950007,lagged_Y_to_E,eta_only
replay_only_null,8,950008,doublet_EY,replay_only_basis
replay_only_null,8,950008,orthogonal_trap,replay_only_basis
replay_only_null,8,950008,counterphase,eta_only
replay_only_null,8,950008,lagged_E_to_Y,eta_only
replay_only_null,8,950008,recovery_probe,zeta_only
replay_only_null,8,950008,lagged_Y_to_E,eta_only
