time_sec,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz
88.5,1.0,0.0,1.0,29.0,1.0778129793769884e-14,-1.0,0.3333333333333333
88.75,1.0,0.0,1.0,29.0,-0.4999999999999809,-0.8660254037844497,0.3333333333333333
89.0,1.0,0.0,1.0,29.0,-0.866025403784422,-0.5000000000000289,0.3333333333333333
89.25,0.0,0.0,0.0,0.0,-1.0,-1.6168432651928003e-14,0.3333333333333333
89.5,0.0,0.0,0.0,0.0,-0.8660254037844524,0.49999999999997624,0.3333333333333333
89.75,0.0,0.0,0.0,0.0,-0.5000000000000089,0.8660254037844335,0.3333333333333333
90.0,0.0,0.0,0.0,0.0,-2.1558735510086122e-14,1.0,0.3333333333333333
90.25,0.0,0.0,0.0,0.0,0.4999999999999716,0.866025403784455,0.3333333333333333
90.5,0.0,0.0,0.0,0.0,0.8660254037844308,0.5000000000000135,0.3333333333333333
90.75,0.0,0.0,0.0,0.0,1.0,2.694903836824424e-14,0.3333333333333333
91.0,0.0,0.0,0.0,0.0,0.8660254037844436,-0.4999999999999915,0.3333333333333333
91.25,0.0,1.0,0.0,0.0,0.5000000000000182,-0.8660254037844282,0.3333333333333333
91.5,1.0,0.0,5.0,30.0,3.2339341226402363e-14,-1.0,0.3333333333333333
91.75,1.0,0.0,5.0,30.0,-0.49999999999998684,-0.8660254037844463,0.3333333333333333
92.0,1.0,0.0,5.0,30.0,-0.8660254037844254,-0.5000000000000229,0.3333333333333333
92.25,0.0,0.0,0.0,0.0,-1.0,-9.307934654156473e-15,0.3333333333333333
92.5,0.0,0.0,0.0,0.0,-0.8660254037844489,0.4999999999999822,0.3333333333333333
92.75,0.0,0.0,0.0,0.0,-0.5000000000000275,0.8660254037844227,0.3333333333333333
93.0,0.0,0.0,0.0,0.0,-1.469823751231459e-14,1.0,0.3333333333333333
93.25,0.0,0.0,0.0,0.0,0.4999999999999775,0.8660254037844516,0.3333333333333333
93.5,0.0,0.0,0.0,0.0,0.8660254037844343,0.5000000000000077,0.3333333333333333
93.75,0.0,0.0,0.0,0.0,1.0,2.008854037047271e-14,0.3333333333333333
94.0,0.0,0.0,0.0,0.0,0.8660254037844544,-0.49999999999997286,0.3333333333333333
94.25,0.0,1.0,0.0,0.0,0.5000000000000123,-0.8660254037844315,0.3333333333333333
94.5,1.0,0.0,5.0,31.0,2.547884322863083e-14,-1.0,0.3333333333333333
