condition,phase_time_sec,time_lsl,lz_complexity_norm
TARGET_1,109.5,34127.4164495,0.059794705707972524
TARGET_1,110.5,34128.4164495,0.059794705707972524
TARGET_1,111.5,34129.4164495,0.059794705707972524
TARGET_1,112.5,34130.4164495,0.059794705707972524
TARGET_1,113.5,34131.4164495,0.059794705707972524
TARGET_1,114.5,34132.4164495,0.059794705707972524
TARGET_1,115.5,34133.4164495,0.059794705707972524
TARGET_1,116.5,34134.4164495,0.059794705707972524
TARGET_1,117.5,34135.4164495,0.059794705707972524
TARGET_1,118.5,34136.4164495,0.059794705707972524
TARGET_1,119.5,34137.4164495,0.059794705707972524
TARGET_1,120.5,34138.4164495,0.059794705707972524
TARGET_1,121.5,34139.4164495,0.059794705707972524
TARGET_1,122.5,34140.4164495,0.059794705707972524
TARGET_1,123.5,34141.4164495,0.059794705707972524
TARGET_1,124.5,34142.4164495,0.059794705707972524
TARGET_1,125.5,34143.4164495,0.059794705707972524
TARGET_1,126.5,34144.4164495,0.059794705707972524
TARGET_1,127.5,34145.4164495,0.059794705707972524
TARGET_1,128.5,34146.4164495,0.059794705707972524
TARGET_1,129.5,34147.4164495,0.059794705707972524
TARGET_1,130.5,34148.4164495,0.059794705707972524
TARGET_1,131.5,34149.4164495,0.059794705707972524
TARGET_1,132.5,34150.4164495,0.10962362713128296
TARGET_1,133.5,34151.4164495,0.11958941141594505
TARGET_1,134.5,34152.4164495,0.14948676426993132
TARGET_1,135.5,34153.4164495,0.24914460711655217
TARGET_1,136.5,34154.4164495,0.29897352853986264
TARGET_1,137.5,34155.4164495,0.27904195997053843
TARGET_1,138.5,34156.4164495,0.19931568569324176
TARGET_1,139.5,34157.4164495,0.2591103914012143
TARGET_1,140.5,34158.4164495,0.18934990140857966
TARGET_1,141.5,34159.4164495,0.16941833283925548
TARGET_1,142.5,34160.4164495,0.09965784284662088
TARGET_1,143.5,34161.4164495,0.1594525485545934
TARGET_1,144.5,34162.4164495,0.17938411712391758
TARGET_1,145.5,34163.4164495,0.12955519570060714
TARGET_1,146.5,34164.4164495,0.06976048999263461
TARGET_1,147.5,34165.4164495,0.14948676426993132
TARGET_1,148.5,34166.4164495,0.17938411712391758
TARGET_1,149.5,34167.4164495,0.14948676426993132
TARGET_1,150.5,34168.4164495,0.14948676426993132
TARGET_1,151.5,34169.4164495,0.16941833283925548
TARGET_1,152.5,34170.4164495,0.22921303854722802
TARGET_1,153.5,34171.4164495,0.28900774425520054
TARGET_1,154.5,34172.4164495,0.3089393128245247
TARGET_1,155.5,34173.4164495,0.29897352853986264
TARGET_1,156.5,34174.4164495,0.18934990140857966
TARGET_1,157.5,34175.4164495,0.21924725426256592
TARGET_1,158.5,34176.4164495,0.17938411712391758
TARGET_1,159.5,34177.4164495,0.1594525485545934
TARGET_1,160.5,34178.4164495,0.06976048999263461
TARGET_1,161.5,34179.4164495,0.06976048999263461
TARGET_1,162.5,34180.4164495,0.06976048999263461
TARGET_1,163.5,34181.4164495,0.06976048999263461
TARGET_1,164.5,34182.4164495,0.06976048999263461
TARGET_1,165.5,34183.4164495,0.06976048999263461
TARGET_1,166.5,34184.4164495,0.06976048999263461
TARGET_1,167.5,34185.4164495,0.06976048999263461
TARGET_1,168.5,34186.4164495,0.06976048999263461
TARGET_1,169.5,34187.4164495,0.09965784284662088
TARGET_1,170.5,34188.4164495,0.19931568569324176
TARGET_1,171.5,34189.4164495,0.17938411712391758
TARGET_1,172.5,34190.4164495,0.2391788228318901
TARGET_1,173.5,34191.4164495,0.20928146997790384
TARGET_1,174.5,34192.4164495,0.20928146997790384
TARGET_1,175.5,34193.4164495,0.1594525485545934
TARGET_1,176.5,34194.4164495,0.20928146997790384
TARGET_1,177.5,34195.4164495,0.22921303854722802
TARGET_1,178.5,34196.4164495,0.28900774425520054
TARGET_1,179.5,34197.4164495,0.24914460711655217
TARGET_1,180.5,34198.4164495,0.20928146997790384
TARGET_1,181.5,34199.4164495,0.21924725426256592
TARGET_1,182.5,34200.4164495,0.2690761756858764
TARGET_1,183.5,34201.4164495,0.21924725426256592
TARGET_1,184.5,34202.4164495,0.1594525485545934
TARGET_1,185.5,34203.4164495,0.14948676426993132
TARGET_1,186.5,34204.4164495,0.18934990140857966
TARGET_1,187.5,34205.4164495,0.17938411712391758
TARGET_1,188.5,34206.4164495,0.18934990140857966
TARGET_1,189.5,34207.4164495,0.22921303854722802
TARGET_1,190.5,34208.4164495,0.2591103914012143
TARGET_1,191.5,34209.4164495,0.19931568569324176
TARGET_1,192.5,34210.4164495,0.08969205856195879
TARGET_1,193.5,34211.4164495,0.11958941141594505
TARGET_1,194.5,34212.4164495,0.20928146997790384
TARGET_1,195.5,34213.4164495,0.18934990140857966
TARGET_1,196.5,34214.4164495,0.16941833283925548
TARGET_1,197.5,34215.4164495,0.14948676426993132
TARGET_1,198.5,34216.4164495,0.22921303854722802
