condition,roi_group,band_hz,log10_power,z_by_band_roi
WASHOUT_3,visual_occipital,40-45,-0.41424112747573816,-0.3747464046709509
BASELINE_2_REFLECTION,visual_occipital,40-45,-0.21754905578347938,0.3539058784043129
BASELINE_1,visual_occipital,45-50,0.21340568693754153,2.3362858437500758
CONTROL_1,visual_occipital,45-50,-0.5387955869558394,-0.5480909331776742
WASHOUT_1,visual_occipital,45-50,-0.5780503916606903,-0.6986166647913047
TARGET_1,visual_occipital,45-50,-0.6263442673578086,-0.8838034470571746
WASHOUT_2,visual_occipital,45-50,-0.5649923485757582,-0.6485445397716937
CONTEXTUAL_OVERRIDE_1,visual_occipital,45-50,-0.2806477642746057,0.4417978247902554
WASHOUT_3,visual_occipital,45-50,-0.5058213677999555,-0.42164861611236304
BASELINE_2_REFLECTION,visual_occipital,45-50,-0.2856489083358879,0.4226205323698796
BASELINE_1,visual_occipital,50-55,0.09031360841578388,2.3619181238718676
CONTROL_1,visual_occipital,50-55,-0.6234014389734284,-0.6445723741509232
WASHOUT_1,visual_occipital,50-55,-0.6166888506068817,-0.6162959167398253
TARGET_1,visual_occipital,50-55,-0.6810130219091101,-0.8872584115348634
WASHOUT_2,visual_occipital,50-55,-0.6333923912469424,-0.6866587827062671
CONTEXTUAL_OVERRIDE_1,visual_occipital,50-55,-0.39353818301308163,0.32371559654180276
WASHOUT_3,visual_occipital,50-55,-0.5368480179477222,-0.27997022818657724
BASELINE_2_REFLECTION,visual_occipital,50-55,-0.36851560894381097,0.4291219929047875
