phase,phase_time,time,feature_state_lz_proxy,complexity_z
CONTEXTUAL_OVERRIDE_1,27.0,344696.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,28.0,344697.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,29.0,344698.5595471,3.4679374173981183,-1.3489999918311657
CONTEXTUAL_OVERRIDE_1,30.0,344699.5595471,3.4679374173981183,-1.3489999918311657
CONTEXTUAL_OVERRIDE_1,31.0,344700.5595471,3.4679374173981183,-1.3489999918311657
CONTEXTUAL_OVERRIDE_1,32.0,344701.5595471,3.633077294417076,-0.6744999959155837
CONTEXTUAL_OVERRIDE_1,33.0,344702.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,34.0,344703.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,35.0,344704.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,36.0,344705.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,37.0,344706.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,38.0,344707.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,39.0,344708.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,40.0,344709.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,41.0,344710.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,42.0,344711.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,43.0,344712.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,44.0,344713.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,45.0,344714.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,46.0,344715.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,47.0,344716.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,48.0,344717.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,49.0,344718.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,50.0,344719.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,51.0,344720.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,52.0,344721.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,53.0,344722.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,54.0,344723.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,55.0,344724.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,56.0,344725.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,57.0,344726.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,58.0,344727.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,59.0,344728.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,60.0,344729.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,61.0,344730.5595471,3.7982171714360344,0.0
CONTEXTUAL_OVERRIDE_1,62.0,344731.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,63.0,344732.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,64.0,344733.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,65.0,344734.5595471,3.9633570484549923,0.674499995915582
CONTEXTUAL_OVERRIDE_1,66.0,344735.5595471,4.12849692547395,1.348999991831164
CONTEXTUAL_OVERRIDE_1,67.0,344736.5595471,4.12849692547395,1.348999991831164
