phase,phase_time,time,blink_sentinel_z,ptp_median_z,blink_proxy_event
CONTROL_1,263.0,343979.5639806,-0.9262428831720372,-0.2658976692916728,0
CONTROL_1,264.0,343980.5639806,-0.5586856947774228,-0.5966501780403471,0
CONTROL_1,265.0,343981.5639806,-0.5390070972137767,-0.8305664583237623,0
CONTROL_1,266.0,343982.5639806,-1.1672680722792304,-0.7383710786488423,0
CONTROL_1,267.0,343983.5639806,-2.16320253287016,0.5775177579419534,0
CONTROL_1,268.0,343984.5639806,-1.3513486805957402,0.8965927082910093,0
CONTROL_1,269.0,343985.5639806,-0.4277270953375406,1.0486665036977192,0
CONTROL_1,270.0,343986.5639806,-0.8279609931911818,-0.2586467202388865,0
CONTROL_1,271.0,343987.5639806,0.7320041701697824,-0.5091439264669794,0
CONTROL_1,272.0,343988.5639806,-1.0154767450221696,0.2435848495671297,0
CONTROL_1,273.0,343989.5639806,-0.5004458073862108,0.1024825276335496,0
CONTROL_1,274.0,343990.5639806,-1.537371965112082,-0.5112802859881499,0
CONTROL_1,275.0,343991.5639806,-1.0725512379219566,-0.2514621552390179,0
CONTROL_1,276.0,343992.5639806,-1.3452430831751363,0.2312977648634485,0
CONTROL_1,277.0,343993.5639806,-1.2159600684876153,0.2634789432437922,0
CONTROL_1,278.0,343994.5639806,-0.298370620548956,0.3093352365251877,0
CONTROL_1,279.0,343995.5639806,-1.0466702229570457,0.1682389495055093,0
CONTROL_1,280.0,343996.5639806,-0.5329335733920001,0.0554584785121923,0
CONTROL_1,281.0,343997.5639806,0.7224759549852411,-0.0417820891844748,0
CONTROL_1,282.0,343998.5639806,-0.3787856415826804,-0.0967601548281562,0
CONTROL_1,283.0,343999.5639806,-1.4867697612198807,-0.4325487992277254,0
CONTROL_1,284.0,344000.5639806,-0.8998389568789725,-0.181918824893797,0
CONTROL_1,285.0,344001.5639806,0.0457978953704564,-0.6085268885987187,0
CONTROL_1,286.0,344002.5639806,-0.2108115627080298,-0.8193747104932236,0
CONTROL_1,287.0,344003.5639806,-0.6069820242861848,0.1706589499800555,0
CONTROL_1,288.0,344004.5639806,-0.3602099280991493,1.2913605662510284,0
CONTROL_1,289.0,344005.5639806,0.3005359809424431,1.280998619081961,0
CONTROL_1,290.0,344006.5639806,-0.3285014646639551,1.1990233660994205,0
CONTROL_1,291.0,344007.5639806,-0.1326778170955247,-0.4958791857112372,0
CONTROL_1,292.0,344008.5639806,-0.6160460032283637,0.6976789286369413,0
CONTROL_1,293.0,344009.5639806,0.1017070070938501,1.498545195407255,0
CONTROL_1,294.0,344010.5639806,0.4342601561048153,1.3706412301764994,0
CONTROL_1,295.0,344011.5639806,-0.486117832787152,-0.1128522527468034,0
CONTROL_1,296.0,344012.5639806,-1.3279718667609068,-0.3830323306650025,0
CONTROL_1,297.0,344013.5639806,-0.150780194054084,-0.6271083885017807,0
CONTROL_1,298.0,344014.5639806,0.2261826017869566,-0.5655039873941299,0
CONTROL_1,299.0,344015.5639806,0.0316113762922546,0.5778617480343452,0
CONTROL_1,300.0,344016.5639806,0.2361660369455879,0.4632134711884794,0
CONTROL_1,301.0,344017.5639806,-1.171814825132119,0.7004519715747318,0
CONTROL_1,302.0,344018.5639806,0.3152857937922221,-0.2076064359160066,0
CONTROL_1,303.0,344019.5639806,5.185759370277341,-0.0499292229516504,1
CONTROL_1,304.0,344020.5639806,2.304077071181307,-0.387793877733374,1
CONTROL_1,305.0,344021.5639806,-0.8458528797584007,0.132119989804364,0
CONTROL_1,306.0,344022.5639806,-0.1276981409566888,0.2614059503185886,0
CONTROL_1,307.0,344023.5639806,0.1206373821680844,0.2400604598485885,0
CONTROL_1,308.0,344024.5639806,0.0615736301094691,-0.6793194461215731,0
WASHOUT_1,1.0,344034.1887116,-0.8312179497464085,-0.6701976737592873,0
WASHOUT_1,2.0,344035.1887116,0.225883611150525,-0.7496895596713149,0
WASHOUT_1,3.0,344036.1887116,-0.1063016253047826,-0.3461499543553034,0
WASHOUT_1,4.0,344037.1887116,-1.4396710849986296,-0.2810905650389799,0
WASHOUT_1,5.0,344038.1887116,-1.1748482356558352,-0.3517413020851465,0
WASHOUT_1,6.0,344039.1887116,-0.3591630211489917,-0.3562342954848963,0
WASHOUT_1,7.0,344040.1887116,-0.1487099329360846,-0.790020889275785,0
WASHOUT_1,8.0,344041.1887116,-0.682896180618414,-0.8992105864976431,0
WASHOUT_1,9.0,344042.1887116,-0.9270521735386976,-0.6381522809417298,0
WASHOUT_1,10.0,344043.1887116,0.3170875510640818,-0.7670942513635626,0
WASHOUT_1,11.0,344044.1887116,0.2920045035767356,-0.1216270175597466,0
WASHOUT_1,12.0,344045.1887116,-0.1620725290855658,-0.4199116895177507,0
WASHOUT_1,13.0,344046.1887116,-1.2034562519536949,-0.2636225067507652,0
WASHOUT_1,14.0,344047.1887116,-0.8346889510044546,-0.6853272029106275,0
WASHOUT_1,15.0,344048.1887116,-1.1700921637508408,-0.9342975759216128,0
WASHOUT_1,16.0,344049.1887116,-1.5103680757827145,-0.9443879519651072,0
WASHOUT_1,17.0,344050.1887116,-1.2537183695415666,-0.9535670560094583,0
WASHOUT_1,18.0,344051.1887116,-0.4563400373250273,-0.9372064044221896,0
WASHOUT_1,19.0,344052.1887116,-0.6451780228536927,-0.8294590516228165,0
WASHOUT_1,20.0,344053.1887116,0.2798995297859157,-0.7971420876796866,0
WASHOUT_1,21.0,344054.1887116,-0.1014461227401099,-0.91945772263755,0
WASHOUT_1,22.0,344055.1887116,-0.7452993967340499,-0.1772206444213924,0
WASHOUT_1,23.0,344056.1887116,-1.5756356209105118,0.0928206304770695,0
WASHOUT_1,24.0,344057.1887116,0.0771482664119787,-0.1531202157553066,0
WASHOUT_1,25.0,344058.1887116,-0.4009311602076075,-0.095860952656816,0
WASHOUT_1,26.0,344059.1887116,0.1824288177549655,-0.5775134660583369,0
WASHOUT_1,27.0,344060.1887116,0.0419797786366801,0.1502790457343132,0
WASHOUT_1,28.0,344061.1887116,-0.1727348174465708,0.281846203703347,0
WASHOUT_1,29.0,344062.1887116,-0.8111265840001446,-0.5384253287175987,0
WASHOUT_1,30.0,344063.1887116,-0.4862078743582222,-0.5565904195614495,0
WASHOUT_1,31.0,344064.1887116,-0.9914301735715414,-0.5299251524871789,0
