eta_E,zeta_E,K,K_loop,loss,delta_loss
3.0,120.0,18.973665961010276,360.0,12.900099765303692,10.48977497896293
3.0,125.0,19.364916731037084,375.0,11.828363404270654,9.418038617929891
3.0,130.0,19.748417658131498,390.0,10.857939999773901,8.447615213433139
3.0,135.0,20.12461179749811,405.0,9.988459433453347,7.578134647112585
3.0,140.0,20.493901531919196,420.0,9.219582823241865,6.809258036901103
3.0,145.0,20.85665361461421,435.0,8.550998796171733,6.140674009830971
3.0,150.0,21.213203435596427,450.0,7.9824203226230095,5.572095536282248
3.0,155.0,21.563858652847824,465.0,7.513582011279196,5.103257224938434
3.0,160.0,21.908902300206645,480.0,7.144237784822371,4.7339129984816095
3.0,165.0,22.24859546128699,495.0,6.874158872367129,4.463834086026368
3.0,170.0,22.58317958127243,510.0,6.703132067022175,4.292807280681413
3.0,175.0,22.9128784747792,525.0,6.630958206663333,4.220633420322572
3.0,180.0,23.2379000772445,540.0,6.65745084364918,4.247126057308418
