generator,trial,seed,K_hat_scaled,K_null_p_upper,K_null_q95,K_null_median,K_significant_null_calibrated
colored_noise_null,11,980011,0.7294297382131008,0.1,0.29696628432996264,0.18420693113098405,True
colored_noise_null,12,980012,0.7242774647680619,0.1,0.1736171022013171,0.07255769083372027,True
colored_noise_null,13,980013,0.6859554697975073,0.1,0.09289788255650089,0.07237112654052605,True
colored_noise_null,14,980014,0.8276652793904347,0.1,0.2641436709757256,0.053630339092675575,True
colored_noise_null,15,980015,0.796729545543467,0.1,0.1528141616969915,0.09748576889932639,True
colored_noise_null,16,980016,0.7834102083545227,0.1,0.10866032594330641,0.06199538282758466,True
colored_noise_null,17,980017,0.7582531140512604,0.1,0.32381458654416884,0.09195977628028595,True
colored_noise_null,18,980018,0.7032755178689646,0.1,0.32823054022573567,0.25652584309918736,True
colored_noise_null,19,980019,0.8462826693472362,0.1,0.1750728403674902,0.1489630420022589,True
colored_noise_null,20,980020,0.8285042406285565,0.1,0.31630247492267977,0.235305546987337,True
